azurewebsites.net,50,28059,27712,29934,30069,31208,25528,31208,0.000%,1.56519,4193.22,4.87
GerarToken ,50,14402,17698,20157,20414,20967,648,20967,0.000%,2.24356,2.41,0.91
LogarUsuario,50,2794,1201,5620,6120,20920,276,20920,0.000%,2.18255,1.98,1.41
PesquisarProdutosDisponiveis,50,755,250,691,719,19579,171,19579,0.000%,2.18551,11.32,1.23
GetCarrinhoItens,200,539,387,891,1006,2956,193,3269,0.000%,5.76087,8.61,3.45
Config,50,191,164,208,247,604,141,604,0.000%,2.13393,1.39,1.15
AdicionarItemCarrinho,100,630,399,924,1136,6074,279,6079,0.000%,4.14628,10.80,2.88
GetQtdTitulosUsuario,150,448,348,726,876,1240,194,3543,0.000%,5.19391,6.63,2.87
GetStatusCarrinho,50,566,514,885,911,1245,263,1245,0.000%,2.59632,5.17,1.43
BuscarDadosUsuario,100,591,436,932,2401,2860,227,2900,0.000%,3.92573,8.20,2.16
ObterFormasPagamentoDisponiveis,50,802,752,1453,1494,1591,404,1591,0.000%,2.41255,21.35,1.54
CEP,50,750,723,1161,1532,1600,253,1600,0.000%,2.51560,5.28,1.42
PagarCarrinho (1 acesso),50,2408,2010,3600,3836,4146,1176,4146,0.000%,2.32753,3.22,2.71
GetDoacao,50,334,340,466,499,576,182,576,0.000%,2.53691,3.17,1.56
SetDoacao,50,523,432,834,874,938,225,938,0.000%,2.46865,2.30,1.51
BuscarTitulosAgrupadosPorSerie,50,462,377,762,778,954,245,954,0.000%,2.46500,2.90,1.55
GetTitulosNovos,50,451,379,693,783,854,226,854,0.000%,2.51902,18.39,1.46
Test,50,58449,60406,63207,63268,63572,43379,63572,0.000%,.78170,2134.86,13.41
TOTAL,1250,4675,475,18084,28864,62849,141,63572,0.000%,19.54224,4269.65,26.82
