GerarToken ,50,3276,3441,5356,6504,7368,577,7368,0.000%,6.75402,7.24,2.73
LogarUsuario,50,3588,2801,7962,8420,8854,333,8854,0.000%,3.37610,3.06,2.18
BuscarDezenas,200,12727,12660,19067,19894,21126,1320,22727,0.000%,2.53344,45.49,1.54
AdicionarItemCarrinhoPreVenda,100,7570,7234,12940,15132,15738,934,16044,0.000%,1.48679,4.70,1.03
GetCarrinhoItens,100,1019,923,1527,1737,2681,262,2986,0.000%,1.77873,5.62,1.07
GetStatusCarrinho,200,620,464,1137,1318,2490,191,2974,0.000%,3.61500,8.15,1.99
ObterFormasPagamentoDisponiveis,200,1073,966,1868,2265,2987,267,9724,0.000%,3.58429,32.68,2.29
PesquisarProdutosDisponiveis,50,623,668,976,1004,1677,182,1677,0.000%,1.05650,6.06,0.59
AdicionarItemCarrinho,100,1104,941,2022,2375,2748,288,3226,0.000%,2.09613,7.80,1.46
ExibirDezenas/idCarrinhoItem,50,726,743,1204,1297,1496,199,1496,0.000%,1.14584,2.98,0.63
Test,50,85293,86665,93225,93475,94257,63244,94257,0.000%,.52672,77.81,7.02
TOTAL,1150,7416,1185,15344,20039,90310,182,94257,0.000%,12.11432,155.61,14.03
