Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GerarToken ,170,4803,2734,11274,11439,11691,552,11730,0.000%,14.06353,7.14,5.69
LogarUsuario,170,10715,8517,27843,27863,27934,143,27979,0.000%,5.97393,1.86,3.86
PesquisarProdutosDisponiveis,170,1667,598,7903,8019,13488,137,27712,0.000%,5.88908,23.06,3.30
GetCarrinhoItens,680,836,299,978,2272,13355,140,14336,0.000%,12.37106,7.74,7.42
Config,170,570,164,584,589,8969,136,38792,0.588%,3.47755,2.31,1.86
AdicionarItemCarrinho,340,3641,1039,15542,15689,15760,157,16126,0.000%,6.84683,8.08,4.76
GetQtdTitulosUsuario,510,669,292,827,911,10533,141,15501,0.000%,11.51996,3.67,6.37
GetStatusCarrinho,170,835,412,3040,3059,3274,142,10039,0.000%,4.33906,1.36,2.39
BuscarDadosUsuario,340,525,309,847,1028,3302,140,10061,0.000%,7.93947,7.56,4.37
ObterFormasPagamentoDisponiveis,170,879,883,1389,1752,2024,182,3301,0.000%,4.27286,30.68,2.73
PagarCarrinho,170,3525,3628,5241,5454,6099,1078,6250,0.000%,4.22581,3.32,4.58
GetDoacao,170,304,194,676,1032,1215,143,1232,0.000%,4.37873,2.86,2.69
SetDoacao,170,279,181,540,731,1412,143,1735,0.000%,4.37558,1.47,2.67
BuscarTitulosAgrupadosPorSerie,170,303,204,563,1028,1213,142,2237,0.000%,4.37603,2.53,2.75
GetTitulosNovos,170,429,277,969,1239,1387,152,2590,0.000%,4.37614,43.41,2.53
Test,170,38002,38055,47987,48258,48839,20117,58202,0.588%,2.87994,94.70,38.59
TOTAL,3910,3304,506,8517,20352,43439,136,58202,0.051%,66.23526,189.40,77.18
